en,sl
Payments and money transmission services are allowed only through a resident bank.,Plačila in storitve prenosa denarja so dovoljeni le prek banke s sedežem v Romuniji.
"Participation in issues of Treasury bonds, pension fund management: Unbound.","Sodelovanje pri izdaji menic zakladnice, upravljanje pokojninskih skladov: brez obvez."
"All other sub-sectors, except provision and transfer of financial information, accepting credits (borrowing of all types), and accepting guarantees and commitments from foreign credit institutions by domestic legal entities and sole proprietors and advisory and other auxiliary financial services: Unbound","Vsi drugi podsektorji, razen dajanja in prenosa finančnih informacij, kreditov (posojil vseh vrst) ter garancij in obveznosti, ki jih od tujih kreditnih institucij sprejmejo domače pravne osebe in samostojni podjetniki, ter drugih pomožnih finančnih storitev: brez obvez."
Members of the Slovenian Stock Exchange must be incorporated in the Republic of Slovenia or be branches of foreign investment firms or banks.,Člani slovenske borze morajo biti registrirani v Sloveniji ali pa biti podružnice tujih investicijskih podjetij ali bank.
"PL: For the provision and transfer of financial information, and financial data processing and related software: Requirement to use the public telecommunication network, or the network of another authorised operator.",PL: Za dajanje in prenos finančnih informacij ter za obdelavo finančnih podatkov in z njimi povezano programsko opremo: zahteva po uporabi javnega telekomunikacijskega omrežja ali omrežja drugega pooblaščenega operaterja.
HEALTH SERVICES AND SOCIAL SERVICES,ZDRAVSTVENE STORITVE IN STORITVE SOCIALNEGA VARSTVA
(only privately-funded services),(samo zasebno financirane storitve)
"AT, BE, BG, DE, CY, CZ, DK, ES, EE, FI, FR, EL, HR, IE, IT, LV, LT, MT, LU, NL, PL, PT, RO, SI, SE, SK, UK: Unbound","AT, BE, BG, DE, CY, CZ, DK, ES, EE, FI, FR, EL, HR, IE, IT, LV, LT, MT, LU, NL, PL, PT, RO, SI, SE, SK, UK: Brez obvez."
"AT, BE, BG, CY, CZ, DE, DK, EE, ES, EL, FI, FR, HR, HU, IE, IT, LU, MT, NL, PL, PT, RO, SE, SI, SK, UK: Unbound","AT, BE, BG, CY, CZ, DE, DK, EE, ES, EL, FI, FR, HR, HU, IE, IT, LU, MT, NL, PL, PT, RO, SE, SI, SK, UK: Brez obvez."
BE: Unbound for social services other than convalescent and rest houses and old people's homes.,"BE: Brez obvez za storitve socialnega varstva, razen okrevališč in domov počitka ter domov za ostarele."
excluding catering in air transport services [30],razen priprave in dostave hrane v storitvah zračnega prevoza [30]
"AT, BE, BG, CY, CZ, DE, DK, ES, FR, EL, IE, IT, LV, LT, LU, MT, NL, PL, PT, RO, SK, SI, SE, UK: Unbound except for catering.","AT, BE, BG, CY, CZ, DE, DK, ES, FR, EL, IE, IT, LV, LT, LU, MT, NL, PL, PT, RO, SK, SI, SE, UK: Brez obvez, razen za pripravo in dostavo hrane."
B. Travel Agencies and Tour Operators Services,B. Storitve turističnih agencij in organizatorjev potovanj
(including tour managers),(vključno z vodji potovanj)
"BG, CY, HU, MT, SK: Unbound","BG, CY, HU, MT, SK: Brez obvez."
"BG, CY, CZ, HU, IT, LT, MT, PL, SK, SI: Unbound.","BG, CY, CZ, HU, IT, LT, MT, PL, SK, SI: Brez obvez."
"CY, CZ, FI, HR, MT, PL, RO, SK, SI: Unbound","CY, CZ, FI, HR, MT, PL, RO, SK, SI: Brez obvez."
"BG: Unbound, except for theatrical producer, singer group, band and orchestra entertainment services (CPC 96191); services provided by authors, composers, sculptors, entertainers and other individual artists (CPC 96192); ancillary theatrical services (CPC 96193).","BG: Brez obvez, razen za razvedrilne storitve gledaliških režiserjev, pevskih skupin, glasbenih skupin in orkestrov (CPC 96191), za storitve pisateljev, skladateljev, kiparjev, zabavljačev in drugih posamičnih umetnikov (CPC 96192) ter za pomožne gledališke storitve (CPC 96193)."
"EE: Unbound for other entertainment services (CPC 96199), except for cinema theatre services.","EE: Brez obvez za druge razvedrilne storitve (CPC 96199), razen za storitve kinematografov in gledališč."
"LT, LV: Unbound, except for cinema theatre operation services (part of CPC 96199).","LT, LV: Brez obvez, razen za storitve delovanja kinematografov in gledališč (del CPC 96199)."
"C. Libraries, archives museums and other cultural services","C. Storitve knjižnic, arhivov, muzejev in druge kulturne storitve"
"BE, BG, CY, CZ, DE, DK, ES, EE, FI, FR, EL, HR, HU, IE, IT, LT, LV, LU, MT, NL, PL, PT, RO, SK, SI, SE, UK: Unbound","BE, BG, CY, CZ, DE, DK, ES, EE, FI, FR, EL, HR, HU, IE, IT, LT, LV, LU, MT, NL, PL, PT, RO, SK, SI, SE, UK: Brez obvez."
"BE, BG, CY, CZ, DE, DK, ES, FI, FR, EL, HR, HU, IE, IT, LT, LV, LU, MT, NL, PL, PT, RO, SK, SI, SE, UK: Unbound","BE, BG, CY, CZ, DE, DK, ES, FI, FR, EL, HR, HU, IE, IT, LT, LV, LU, MT, NL, PL, PT, RO, SK, SI, SE, UK: Brez obvez."
AT: Unbound for ski school services and mountain guide services.,AT: Brez obvez za storitve smučarskih šol in storitve gorskih vodnikov.
"BG, CZ, HR, LV, MT, PL, RO, SK: Unbound","BG, CZ, HR, LV, MT, PL, RO, SK: Brez obvez."
"CY, EE: Unbound","CY, EE: Brez obvez."
A. Maritime transport,A. Pomorski prevoz
(CPC 7212 less national cabotage transport) [31],"(CPC 7212, brez nacionalnega kabotažnega prevoza) [31]"
"BG, CY, DE, EE, ES, FR, FI, EL, IT, LT, LV, MT, PL, PT, RO, SI and SE: Feedering services by authorisation.","BG, CY, DE, EE, ES, FR, FI, EL, IT, LT, LV, MT, PL, PT, RO, SI in SE: Storitve feederjev z dovoljenjem."
"In the case of establishment as legal person, nationality condition for the majority of managing directors, the board of directors and the supervisory board.","Pri ustanovitvi pravne osebe velja pogoj glede državljanstva za večino direktorjev, upravni odbor in nadzorni svet."
In addition the majority of the business shares must be held by European Union nationals.,Poleg tega mora biti večina delnic v lasti državljanov Evropske unije.
"BG, CY, CZ, EE, FI, HR, HU, LT, MT, RO, SE, SI, SK: Unbound","BG, CY, CZ, EE, FI, HR, HU, LT, MT, RO, SE, SI, SK: Brez obvez."
C. Rail Transport,C. Železniški prevoz
EU: Unbound,EU: Brez obvez.
D. Road Transport,D. Cestni prevoz
Freight Transportation,Prevoz tovora
"(CPC 7123, excluding transportation of mail on own account [32]).","(CPC 7123, razen prevoza pošte za lastne potrebe [32])."
EU: Unbound.,EU: Brez obvez.
E. Pipeline transport of goods other than fuel [33],"E. Cevovodni transport blaga, razen goriva [33]"
For Mode 1:,Za način 1:
For Mode 2:,Za način 2:
12 SERVICES AUXILIARY TO TRANSPORT [34],POMOŽNE STORITVE V PREVOZU [34]
A. Services auxiliary to Maritime Transport,A. Pomožne storitve v pomorskem prevozu
Maritime freight forwarding Services,Pomorske storitve odpreme tovora
"EU: Unbound for maritime cargo handling services, storage and warehousing services, customs clearance services, container station and depot services, pushing and towing services, and supporting services for maritime transport","EU: Brez obvez za storitve pretovarjanja tovora v pomorstvu, storitve skladiščenja, storitve carinjenja, storitve začasnih skladišč in depojev za zabojnike, potiskanje in vleko plovil ter pomožne storitve v pomorskem prometu."
"AT, BG, CY, CZ, DE, EE, HU, LT, MT, PL, RO, SK, SI, SE: Unbound for rental of vessels with crew.","AT, BG, CY, CZ, DE, EE, HU, LT, MT, PL, RO, SK, SI, SE: Brez obvez za izposojanje plovil s posadko."
HR: Unbound except for f) freight transport agency services.,"HR: Brez obvez, razen za f) storitve agencij za prevoz tovora."
B. Services auxiliary to internal waterways transport,B. Pomožne storitve v prevozu po celinskih vodah
EU: Measures based upon existing or future agreements on access to inland waterways (incl. agreements following the Rhine-Main-Danube link) reserving some traffic rights for operators based in the countries concerned and meeting nationality criteria regarding ownership.,"EU: Z ukrepi, ki temeljijo na obstoječih ali prihodnjih sporazumih o dostopu do celinskih voda (vključno s sporazumi v zvezi z osjo Ren–Majna–Donava), se nekatere prometne pravice pridržijo za subjekte s sedežem v zadevnih državah, ki v zvezi z lastništvom izpolnjujejo merila o državljanstvu."
"EU: Unbound for maritime cargo handling services, storage and warehousing services, pushing and towing services, and supporting services for internal waterways transport.","EU: Brez obvez za storitve pretovarjanja tovora v pomorstvu, storitve skladiščenja, potiskanje in vleko plovil ter pomožne storitve v prevozu po celinskih vodah."
"AT, BG, CY, CZ, DE, EE, FI, HU, LV, LT, MT, RO, SK, SI, SE: Unbound for rental of vessels with crew","AT, BG, CY, CZ, DE, EE, FI, HU, LV, LT, MT, RO, SK, SI, SE: Brez obvez za izposojanje plovil s posadko."
EU: Unbound for pushing and towing services.,EU: Brez obvez za storitve potiskanja in vleke.
"HR: Unbound, except for c) freight transport agency services.","HR: Brez obvez, razen za c) storitve agencij za prevoz tovora."
Supporting services for road transport,Pomožne storitve v cestnem prometu
"AT, BG, CY, CZ, EE, HU, LV, LT, MT, PL, RO, SK, SI, SE: Unbound for Rental of Commercial Road Vehicles with Operators","AT, BG, CY, CZ, EE, HU, LV, LT, MT, PL, RO, SK, SI, SE: Brez obvez za izposojanje gospodarskih cestnih vozil z upravljavcem."
HR: Unbound except for c) freight transport agency services and f) supporting services for road transport that are subject to permit.,"HR: Brez obvez, razen za c) storitve agencij za prevoz tovora in f) pomožne storitve v cestnem prevozu, za katere je potrebno dovoljenje."
Ground-handling services (including catering services),Storitve zemeljske oskrbe (vključno s pripravo in dostavo hrane)
EU: Unbound except for catering,"EU: Brez obvez, razen za pripravo in dostavo hrane."
EU: Aircraft used by European Union air carriers have to be registered in the European UnionMember States licensing the air carrier or elsewhere in the European Union.,"EU: Letala, ki jih uporabljajo letalski prevozniki Evropske unije, morajo biti registrirana v državah članicah Evropske unije, ki so letalskemu prevozniku izdale dovoljenje, ali drugje v Evropski uniji."
EU: Specific obligations for service suppliers operating computer reservation systems that are owned or controlled by air carriers.,"EU: Posebne obveznosti za ponudnike storitev, ki upravljajo računalniške sisteme rezervacij, ki so v lasti ali pod nadzorom letalskih prevoznikov."
Airport management,Upravljanje letališč
F. Services auxiliary to pipeline transport of goods other than fuel [35],"F. Pomožne storitve pri cevovodnem transportu blaga, razen goriva [35]"
"Storage and warehouse services of goods other than fuel transported by pipelines,","Storitve skladiščenja blaga, razen goriva, prenesenega po cevovodih,"
"AT, BE, BG, CY, CZ, DE, DK, ES, FI, FR, EL, HR, IE, IT, LT, LU, MT, NL, PL, PT, RO, SK, SI, SE, UK: Unbound","AT, BE, BG, CY, CZ, DE, DK, ES, FI, FR, EL, HR, IE, IT, LT, LU, MT, NL, PL, PT, RO, SK, SI, SE, UK: Brez obvez."
A. Services Incidental to Mining,"A. Storitve, povezane z rudarstvom"
(CPC 883) [36],(CPC 883) [36]
B. Pipeline Transportation of fuels,B. Cevovodni transport goriv
C. Storage and warehouse services of fuels transported through pipelines,"C. Skladiščenje goriv, prenesenih po cevovodih"
"and wholesale trade services of electricity, steam and hot water","ter trgovina na debelo z električno energijo, paro in toplo vodo"
"EU: Unbound for wholesale trade services of electricity, steam and hot water","EU: Brez obvez za trgovino na debelo z električno energijo, paro in toplo vodo."
"and retailing services of electricity, (non bottled) gas, steam and hot water","ter storitve trgovine na drobno z električno energijo, plinom (ne v jeklenkah), paro in toplo vodo"
"EU: Unbound for retailing services of electricity, (non bottled) gas, steam and hot water.","EU: Brez obvez za storitve trgovine na drobno z električno energijo, plinom (ne v jeklenkah), paro in toplo vodo."
"BE, BG, CY, CZ, DE, DK, ES, FR, EL, IE, IT, LU, MT, NL, PL, PT, SK, UK: For Retail sales of fuel oil, bottled gas, coal and wood, unbound except for mail order where: none.","BE, BG, CY, CZ, DE, DK, ES, FR, EL, IE, IT, LU, MT, NL, PL, PT, SK, UK: Za trgovino na drobno s kurilnim oljem, plinom v jeklenkah, premogom in lesom brez obvez, razen za naročila po pošti, pri katerih ni pridržkov."
G. Services incidental to energy distribution,"G. Storitve, povezane z distribucijo energije"
EU: Unbound except for consultancy services where: none,"EU: Brez obvez, razen za storitve svetovanja, pri katerih ni pridržkov"
"Spa services and non therapeutical massages, to the extent that they are provided as relaxation physical well-being services and not for medical or rehabilitation purposes [37]","Storitve zdravilišč in neterapevtske masaže, dokler se izvajajo kot sprostitvene storitve za dobro počutje telesa in ne v medicinske ali rehabilitacijske namene [37]"
Telecommunications connection services (CPC 7543),Storitve telekomunikacijskih povezav (CPC 7543)
The absence of European Union Member State-specific reservations in a given sector is without prejudice to horizontal reservations or to sectoral European Union-broad reservations that may apply.,"Odsotnost pridržkov, specifičnih za državo članico Evropske unije, v določenem sektorju ne posega v horizontalne pridržke ali v sektorske pridržke za vso Evropsko unijo, ki lahko veljajo."
"As regards services sectors, these limitations do not go beyond the limitations reflected in the existing GATS commitments.",Pri storitvenih sektorjih te omejitve ne presegajo omejitev iz obstoječih obveznosti GATS.
"Provision of legal services is only authorised in respect of public international law, European Union law and the law of any jurisdiction where the service supplier or its personnel is qualified to practice as a lawyer, and, like the provision of other services, is subject to licensing requirements and procedures applicable in European Union Member States.","Izvajanje pravnih storitev je dovoljeno le v zvezi z mednarodnim javnim pravom, pravom Evropske unije in pravom katere koli pristojnosti, kjer je ponudnik storitve ali njegovo osebje usposobljeno za opravljanje poklica odvetnika, ter kot za druge storitve tudi za te storitve veljajo zahteve glede dovoljenj in postopki, ki se uporabljajo v državi članici Evropske unije."
"Legal services in respect of European Union law shall in principle be carried out by or through a fully qualified lawyer admitted to the Bar in the European Union acting personally, and legal services in respect of the law of a European Union Member State shall in principle be carried out by or through a fully qualified lawyer admitted to the Bar in that European Union Member State acting personally.","Pravne storitve v zvezi s pravom Evropske unije načeloma izvaja popolnoma usposobljeni odvetnik, ki je član odvetniške zbornice v Evropski uniji in deluje osebno, pravne storitve v zvezi s pravom države članice Evropske unije pa načeloma izvaja popolnoma usposobljeni odvetnik, ki je član odvetniške zbornice v tej državi članici Evropske unije in deluje osebno."
"In some European Union Member States, only the supply of prescription drugs is reserved to pharmacists.",V nekaterih državah članicah Evropske unije je za farmacevte rezervirana le dobava zdravil na recept.
"It does not include printing services, which fall under CPC 88442 and are to be found under 1.F p).","Ne vključuje tiskarskih storitev, ki spadajo pod CPC 88442 in so pod 1.F p)."
"Postal item refers to items handled by any type of commercial operator, whether public or private.","Poštna pošiljka se nanaša na pošiljke, ki jih obdela katera koli vrsta javnega ali zasebnega gospodarskega subjekta."
Transportation of mail on own account by any land Mode.,Prevoz pošte za lastne potrebe s katerim koli kopenskim prevozom.
"Does not include maintenance and repair services, which are to be found in BUSINESS SERVICES under 1.B. and 1.F.l).","Ne zajema vzdrževanja in popravil, ki so v naslovu POSLOVNE STORITVE pod 1.B. in 1.F.l)."
Does not include retailing services of energy products which are to be found in ENERGY SERVICES under 13.E and 13.F.,"Ne zajema storitev prodaje energentov na drobno, ki so v naslovu ENERGETSKE STORITVE pod 13.E in 13.F."
Corresponds to sewage services.,Ustreza storitvam v zvezi z odplakami.
Corresponds to Cleaning Services of Exhaust Gases.,Ustreza storitvam čiščenja izpušnih plinov.
Corresponds to parts of Nature and Landscape Protection Services.,Ustreza delom storitev varstva narave in krajine.
Catering in air transport services is to be found in SERVICES AUXILARY TO TRANSPORT SERVICES under 12.D.a) Groundhandling services.,Priprava in dostava hrane v storitvah zračnega prevoza je v naslovu POMOŽNE STORITVE V PREVOZU pod 12.D.a) Storitve zemeljske oskrbe.
Pipeline transportation of fuels is to be found in ENERGY SERVICES under 13.B,Cevovodni transport goriv je v naslovu ENERGETSKE STORITVE pod 13.B.
"It does not include maintenance and repair services of transport equipment, which are to be found in BUSINESS SERVICES under 1.F.l) 1 to 1.F.l) 4.","Ne zajema vzdrževanja in popravil prevozne opreme, ki so v naslovu POSLOVNE STORITVE pod 1.F.l) 1 do 1.F.l) 4."
Services auxiliary to pipeline transportation of fuels are to be found in ENERGY SERVICES under 13.C,Pomožne storitve pri cevovodnem transportu goriva so v naslovu ENERGETSKE STORITVE pod 13.C.
"Includes the following service rendered on a fee or contract basis: advisory and consulting services relating to mining, on land site preparation, on land rig installation, drilling, drilling bits services, casing and tubular services, mud engineering and supply, solids control, fishing and downhole special operations, wellsite geology and drilling control, core taking, well testing, wireline services, supply and operation of completion fluids (brines) supply and installation of completion devices, cementing (pressure pumping), stimulation services (fracturing, acidising and pressure pumping), workover and well repair services, plugging and abandoning of wells.Does not include direct access to or exploitation of natural resources.Does not include site preparation work for mining of resources other than oil and gas (CPC 5115), which is to be found under 3; CONSTRUCTION SERVICES.","Zajema naslednje storitve za honorar ali na podlagi pogodbe: svetovalne in posvetovalne storitve v zvezi z rudarstvom, priprava rudarskih izkopov, namestitev opreme na mestu izkopa, vrtanje, storitve z orodjem za vrtanje, storitve v zvezi z ohišji in cevmi, storitve na področju tehnike izplak in dobava, nadzor trdnih snovi, posebne operacije iskanja in dela v jarkih, geologija območja vrtin in nadzor vrtanja, jemanje vzorcev jedra, preskušanje vrtin, žične storitve, dobava in delovanje tekočin za zaključna dela (slanic), dobava in montaža naprav za zaključna dela, cementiranje (črpanje pod pritiskom), storitve stimulacije (lomljenje, kisanje in črpanje pod pritiskom), storitve zaključnih del in popravila vrtine, zamašitev in opustitev vrtin.Ne zajema neposrednega dostopa do ali izkoriščanja naravnih virov.Ne zajema priprave mesta izkopa za rudarsko izkoriščanje virov, ki niso nafta ali plin (CPC 5115), kar je pod 3. GRADBENE STORITVE."
"Therapeutical massages and thermal cure services are to be found under 1.A.h) Medical services, 1.A.j) 2 Services provided by nurses, physiotherapists and para-medical personnel and health services (8.A and 8 C).’.","Terapevtske masaže in storitve termalnega zdravljenja je pod 1.A(h) Zdravstvene storitve, 1.A(j) 2 Storitve medicinskih sester, fizioterapevtov in reševalnega osebja ter zdravstvene storitve (8.A in 8.C).“"
ANNEX XII,PRILOGA XII
This Schedule of Commitments is consistent with the constitutional and legal provisions governing the services sector in Ecuador and their compatibility with the undertakings made at multilateral level.,"Ta seznam obveznosti je skladen z ustavnimi in pravnimi določbami, ki urejajo storitveni sektor v Ekvadorju in so usklajene z zavezami na večstranski ravni."
"For the preparation of this offer, account was taken of the United Nations Statistics Division's Central Products Classification (CPC), Statistical Reports, Series M, No. 77, provisional, 1991, for the offer relating to cross-border trade in services.","Pri pripravi te ponudbe se je upoštevala Osrednja klasifikacija proizvodov Statističnega urada Združenih narodov, Statistične listine, serija M, št. 77, začasno, 1991, in sicer pri ponudbi v zvezi s čezmejno trgovino s storitvami."
The list below is composed of the following elements:,Seznam v nadaljevanju je sestavljen iz naslednjih elementov:
"a first column indicating the sector or sub-sector in which the commitment is assumed by Ecuador, and the scope of the commitment to which the reservations apply;","prvega stolpca, v katerem so navedeni sektor ali podsektor, v katerem je Ekvador prevzel obveznost, ter obseg obveznosti, v katerem veljajo pridržki;"
"a second column describing the applicable reservations, the mode of supply and the obligation affected (Access to Markets — AM, or National Treatment — NT).","drugega stolpca, v katerem so opisani veljavni pridržki, način opravljanja storitve in zadevna obveznost (dostop do trga ali nacionalna obravnava)."
"AM and NT commitments are independent of each other; accordingly, if no AM commitment has been made (remaining “unbound”), this does not invalidate the NT commitment.","Obveznosti v zvezi z dostopom do trga in nacionalno obravnavo so medsebojno neodvisne; če obveznost v zvezi z dostopom do trga ni bila sprejeta (ostane ‚brez obvez‘), to ne razveljavi obveznosti v zvezi z nacionalno obravnavo."
"For methodological revision and analysis purposes, we would point out the following:",Za namene metodološke revizije in analize je treba opozoriti na naslednje:
No commitments of any kind are being made in the sectors or sub-sectors of services not shown on the list,"Za sektorje in podsektorje storitev, ki niso navedeni na seznamu, ni obveznosti."
"For the services sub-sectors in which commitments are being maintained or new commitments are being incorporated, the amendments appear in the left-hand column headed “Sector or sub-sector”","Za podsektorje storitev, kjer se obveznosti ohranijo ali se dodajo nove, so spremembe navedene v levem stolpcu z naslovom ‚Sektor ali podsektor‘."
"To complement the list, the same right-hand column includes “comments” considered necessary on the commitment or reservation being incorporated or maintained.","Za dopolnitev seznama so v desnem stolpcu navedene tudi potrebne ‚pripombe‘ o obveznostih ali pridržkih, ki se dodajo ali ohranijo."
"The commitments do not include measures relating to requirements, technical standards, procedures or processes necessary for the provision of a service and that apply even when not shown on the list, unless they are presented as restrictions on the rules on market access and national treatment","Obveznosti ne vključujejo ukrepov v zvezi z zahtevami, tehničnimi standardi, postopki ali procesi, potrebnimi za zagotavljanje storitev, ki se uporabljajo tudi, če niso navedeni na seznamu, razen če so predstavljene kot omejitve pravil o dostopu do trga in nacionalni obravnavi."
"Accordingly, the said reservations, conditions and exclusions will be applicable to and required for the new sectors and/or modes of supply set out on the list below only.","Navedeni pridržki, pogoji in izvzetja se tako uporabljajo in zahtevajo samo za nove sektorje in/ali načine opravljanja storitev s spodnjega seznama."
Provision of services in strategic sectors and public services,Zagotavljanje storitev v strateških sektorjih in javnih storitev
"The provision of public services and services in strategic sectors will require concession rights, licences, authorisations or other forms of permission to be obtained beforehand in accordance with the relevant legislation applicable to the respective sector.","Za zagotavljanje javnih storitev in storitev v strateških sektorjih se bodo zahtevali predhodna pridobitev koncesije, licence, dovoljenja ali druge oblike dovoljenja v skladu z relevantno zakonodajo, ki se uporablja za zadevni sektor."
"Where a requirement is laid down for the provision of the services to take place in part or in full on Ecuadorian territory, a requirement may also be laid down for domiciliation of an establishment in Ecuador for legal persons incorporated under the laws of another country and whose main domicile is in another country.","Če se določi zahteva za zagotavljanje storitev na celotnem ekvadorskem ozemlju ali njegovem delu, se lahko določi tudi zahteva za domicil poslovne enote v Ekvadorju za pravne osebe, ustanovljene po pravu druge države, katerih glavni domicil je v drugi državi."
"Such requirements apply to the provision of public services and those related to energy exploitation in all its forms, telecommunications, exploitation of non-renewable natural resources, transport and refining of hydrocarbons, biodiversity and genetic heritage, water and the radio spectrum.","Take zahteve veljajo za zagotavljanje javnih storitev in storitev v povezavi z izkoriščanjem energije v vseh njenih oblikah, telekomunikacijami, izkoriščanjem neobnovljivih naravnih virov, prometom in rafiniranjem ogljikovodikov, biotsko raznovrstnostjo in gensko dediščino, vodo ter radiofrekvenčnim spektrom."
"The criteria for the granting of licences, authorisations and other forms of permission shall be transparent and non-discriminatory as regards the participation of service providers from the EU Party and shall not constitute a quantitative restriction for the provision of the service.","Merila za izdajo licenc, dovoljenj in drugih oblik dovoljenj so pregledna in nediskriminatorna kar zadeva sodelovanje ponudnikov storitev iz pogodbenice EU in ne pomenijo količinske omejitve za zagotavljanje storitev."
"Foreign national or legal persons may not, in any capacity, acquire land or concessions in national security zones for economic exploitation purposes.",Tuji državljani in pravne osebe ne morejo pod nobenim pogojem pridobiti zemljišča ali koncesije na območjih nacionalne varnosti za gospodarsko izkoriščanje.
Essential security,Bistvena varnost
"The manufacture, import, possession and use of chemical, biological and nuclear weapons is prohibited, as is the introduction into the national territory of nuclear waste and toxic waste.","Proizvodnja, uvoz, posest in uporaba kemičnega, biološkega in jedrskega orožja so prepovedani, to pa velja tudi za vnos jedrskih in strupenih odpadkov na nacionalno ozemlje."
Social Economy,Socialna ekonomija
"In accordance with the provisions of the Constitution of the Republic, Ecuador reserves the right to establish measures granting preferential and differential treatment to the sectors that operate and pursue activities using the social economy model, including the associative and community cooperative sectors.","V skladu z določbami v ustavi republike si Ekvador pridržuje pravico, da sprejme ukrepe za odobritev prednostne in pristranske obravnave za sektorje, ki delujejo in opravljajo dejavnosti z uporabo modela socialne ekonomije, vključno s sektorji, ki delujejo na podlagi povezovanja in kooperativnega delovanja znotraj skupnosti."
"Legal services (CPC 861) Only advisory services on foreign legislation and international law (excluding advisory services, legal representation and notarial services under national law)","Pravne storitve (CPC 861): samo storitve pravnega svetovanja glede tuje zakonodaje in mednarodnega prava (razen pravnega svetovanja, pravnega zastopanja in notarskih storitev v skladu z nacionalnim pravom)"
MA; NT: Unbound,"Dostop do trga, nacionalna obravnava: brez obvez."
Architectural services (CPC 8671),Arhitekturne storitve (CPC 8671)
Urban Planning and Landscape Architectural Services (CPC 8674),Storitve urbanističnega načrtovanja in storitve krajinske arhitekture (CPC 8674)
Medical and dental services (CPC 9312),Zdravstvene in zobozdravstvene službe (CPC 9312)
"B. Computer and Related Services, exclusively:","B. Računalniške in sorodne storitve, izključno:"
Consulting services related to the installation of computer hardware (CPC 841);,Svetovanje v zvezi z namestitvijo računalniške strojne opreme (CPC 841);
"Maintenance and repair services of office equipment including computers (845), and","Vzdrževanje in popravila pisarniške opreme, vključno z računalniki (845), in"
Other computer services (CPC 849).,druge računalniške storitve (CPC 849).
Leasing or rental services concerning vessels without crew (CPC 83101 and 83103),Lizing ali najem plovil brez posadke (CPC 83101 in CPC 83103)
Leasing or rental services of aircraft without crew (CPC 83104),Lizing ali najem letal brez posadke (CPC 83104)
Leasing or rental services of other means of transport without operators (83101+ 83102 + 83105),"Lizing ali najem drugih prevoznih sredstev brez izvajalcev (CPC 83101, CPC 83102 in CPC 83105)"
Leasing or rental services of other machinery and equipment without operators (83106-83109),Lizing ali najem drugih strojev in opreme brez izvajalcev (CPC 83106 do CPC 83109)
Advertising services (CPC 871),Storitve oglaševanja (CPC 871)
Exclusively: Sale or leasing services of advertising space or time (CPC 8711),Izključno: Prodaja ali najem oglaševalskega prostora ali časa (CPC 8711)
Personnel placement and supply services (CPC 872),Storitve namestitve in zagotovitve osebja (CPC 872)
"Related scientific and technical consulting services (CPC 8675), excluding services procured by the State",Sorodne storitve na področju znanstvenega in tehničnega svetovanja (CPC 8675)
"Maintenance and repair of equipment (not including maritime vessels, aircraft or other transport equipment) (CPC 633 + 8861 - 8866)","Vzdrževanje in popravila opreme (z izjemo pomorskih plovil, letal ali druge prevozne opreme) (CPC 633 in CPC 8861 do CPC 8866)"
Building-cleaning services,Storitve čiščenja zgradb
Photographic services (CPC 875),Fotografske storitve (CPC 875)
Packaging services (CPC 876),Storitve pakiranja (CPC 876)
"Services relating to the handling of postal items, according to the following list of sub-sectors, whether for domestic or foreign destinations:","Storitve v zvezi z obdelavo poštnih pošiljk v skladu z naslednjim seznamom podsektorjev, ne glede na to, ali so namenjene v domače ali tuje kraje:"
MA; NT: Unbound until the end of the fifth year following the entry into force of this Agreement.,"Dostop do trga, nacionalna obravnava: brez obvez do konca petega leta po začetku veljavnosti tega sporazuma."
"None, from the sixth year onwards","Jih ni, od šestega leta naprej."
"Commitments in sub-sectors (i), (iv) and (v) are excluded when they fall into the scope of the services which may be reserved for the State, which is: for items of correspondence [1] the price of which is less than two and a half times the public basic tariff, provided that they weigh less than 50 grams, plus the registered mail service used in the course of judicial or administrative procedures.","Obveznosti v podsektorjih (i), (iv) in (v) so izključene, če sodijo v obseg storitev, ki so lahko rezervirane za državo, in sicer: pošiljke korespondence [1], cena katerih je nižja od 2,5-kratnega zneska javne osnovne tarife, če tehtajo manj kot 50 gramov, plus priporočena poštna storitev, ki se uporablja pri pravosodnih ali upravnih postopkih."
"(Part of CPC 751, part of CPC 71235 [2] and part of CPC 73210 [3])","(del CPC 751, del CPC 71235 [2] in del CPC 73210 [3])"
All services consisting of the transmission and reception of signals by any electromagnetic means.,Vse storitve v zvezi s prenosom in sprejemanjem signalov z elektromagnetnimi sredstvi
"(CPC 5121) One- or two-dwelling buildings, (CPC 5122) multi-dwelling buildings, (CPC 5123) warehouses and industrial buildings, (CPC 5125) public entertainment buildings, (CPC 51260) hotel, restaurant and similar buildings","(CPC 5121) eno ali dvostanovanjske zgradbe, (CPC 5122) večstanovanjske zgradbe, (CPC 5123) skladišča in industrijske zgradbe, (CPC 5125) prireditvene zgradbe, (CPC 51260) hoteli, restavracije in podobne zgradbe."
E. Other (CPC 511+515+518).,"E. Drugo (CPC 511, CPC 515 in CPC 518)"
"(CPC 511 Pre-erection work at construction sites, CPC 515 Special trade construction work, CPC 518 Renting services related to equipment for construction or demolition of buildings or civil engineering works, with operator)","(CPC 511 Predpriprava na gradbiščih, CPC 515 Gradbena dela specialnih strok, CPC 518 Storitve v zvezi z dajanjem gradbene opreme ali opreme za rušenje stavb ali inženirskih objektov v najem, vključno z upravljavcem)"
Commission agents' services (CPC 621),Posredniške storitve (CPC 621)
